Index,Score,Std Dev,a,alpha,b,lamb
0,-0.27127229546868176,0.2491217670100817,0.9927679159929719,0.6673499437559605,0.998479252999534,1.0136480909739782
1,-0.9807565144113083,3.7176444518856706,0.9932132140369112,0.6553957618409578,0.9806811938330755,1.0074127600658604
2,-0.3170521173378338,2.064746515098987,0.9833902585431648,0.4865991030704572,0.9957534128961713,1.0461107416289215
3,-0.35289731413396547,0.09159490209243358,0.9961038066662472,0.4820506263149612,0.9826018615725861,1.0320507821961007
4,-0.001752022576452535,4.599269231142044e-05,0.9937953886121697,0.32185976390069787,0.9999188703374223,1.1412426855376796
5,-0.4651163791425524,0.2152615892147173,0.9816216757361181,0.7551795230289426,0.9864509746724777,1.326819080715056
6,-0.43932374838878563,0.2399066047576494,0.9816588597480117,0.2698084863950342,0.9833404452126885,1.0581650025070861
7,-0.31189375355657806,0.3040419992265166,0.9888045512788776,0.5042197162796809,0.9874473498246119,1.2992828561257095
8,-0.272461839998097,0.10377751980406211,0.991894381656499,0.6963459620790976,0.9857991084803155,1.0832794274356417
9,-0.17200346316496792,0.022976939334577638,0.9954337100894108,0.6116737351601842,0.9974080210163307,1.1771028108162267
