Index,Score,Std Dev,a,alpha,b,lamb,zeta
387,-33.766886546031,0.148137873793722,0.98396701944285,0.267274040442631,0.981575793420434,1.00006486762211,47.8110089705026
315,-32.7196636086275,0.582740322675997,0.994809519512676,0.200247741387602,0.997520289188534,1.00086245581603,44.2667794755875
146,-30.7742963788992,0.723356226800775,0.992668798160226,0.647168303025882,0.98469208046307,1.02401528583503,45.9316666848558
375,-26.6944607753595,1.21681167687036,0.986273247319738,0.21688463065021,0.982971138011397,1.00168684534328,49.299860242267
272,-25.1699956550121,2.24833981770752,0.980943962502288,0.205317040851231,0.989285331932174,1.00023888442568,48.8790455697112
258,-23.0514105238723,1.98987156952087,0.985993321899687,0.211271099401258,0.989012845911406,1.02580848250472,43.093089408248
314,-20.5837702370418,1.34988092843165,0.995042021095166,0.209718335339484,0.996157524422749,1.00003779169942,44.31116861317
311,-20.2319807999082,1.68223356417057,0.993265001753565,0.208991244364791,0.994271280019824,1.02147578058868,44.826366738941
345,-20.2230448598818,2.38561010670073,0.990147412583122,0.318449450841914,0.995961954220133,1.04483430651399,50.25658105419
374,-19.5276642176392,2.03359339701065,0.991151391464574,0.242191561246641,0.997881939593981,1.0776879015354,50.7089896707367
320,-18.8826544964216,1.88014399946183,0.980986404230132,0.200000239882932,0.999910857874753,1.00241403294492,46.2838354356233
22,-18.4322037574724,0.980027319654965,0.993416730772401,0.7680805528113,0.989211554576186,1.01172892720106,43.3707371155288
357,-18.277908445036,2.74475299379289,0.990580934526943,0.200385677675174,0.997107630296616,1.00004801786774,53.097965124767
327,-15.5828403344163,2.53523179138317,0.986487641212191,0.267272188895753,0.995761045904255,1.0000358557905,46.6186683890774
297,-15.288545917222,4.30319556145347,0.993448150613416,0.275326578838743,0.99287954136285,1.03448471478309,45.0350595086487
390,-13.4426257624587,2.5222543203815,0.984119208582275,0.332456648445785,0.982741862761286,1.01023751092293,50.1037664740442
84,-12.882697947142,4.18448084865977,0.99671888611491,0.65854193246321,0.98581517805559,1.02953824363697,58.7515160332999
334,-11.6245346447979,4.77071131593911,0.99491560323403,0.254946447804911,0.997990050140614,1.05148907455877,51.9242430304091
85,-11.5802284180321,5.73169476922287,0.989488474654188,0.665474441232183,0.988223632326706,1.02951084857718,62.0447543781432
379,-11.4241224363346,3.50687147911145,0.988287086455528,0.200507141883871,0.98323801316247,1.00028607176765,54.2855060714391
289,-11.2679140395403,4.26409109536089,0.998203166447565,0.29988260926678,0.989145970823798,1.00136879895269,40.4232263423441
167,-11.2622490973864,5.34627442882372,0.98907447458567,0.261709799393713,0.989514031073646,1.0218745608357,41.3819539445145
194,-11.1850478303821,4.92899911791062,0.992837100616318,0.499203838548453,0.986734884459604,1.04759071322648,42.1755638270282
156,-10.7054639350478,0.27377035379703,0.993695510613258,0.76507891886291,0.984174930198397,1.10543284313822,46.4949073502891
20,-10.6375920640435,4.02643356454577,0.992111786090959,0.786670876147569,0.983219176980601,1.09927824048741,42.5376614612494
114,-9.99811637572776,8.25654460257839,0.995154664493978,0.787810226880627,0.991516494517532,1.01454969145477,54.6827489950814
244,-9.56919901471288,7.59094549108052,0.989627608495222,0.503532683619239,0.99141795521273,1.04170676254178,44.0873465349722
147,-9.27471012756059,5.55271120626878,0.992952108160561,0.636571376521823,0.984624208795045,1.00353939919947,43.0787287426789
189,-9.12644898803111,7.81504159284612,0.98728305983828,0.315549978453125,0.995920174021376,1.00052521262249,50.749412269063
267,-8.99575375113906,10.1668620824539,0.987452835011224,0.592277775721256,0.987280549048877,1.0240118361943,41.5904816587213
270,-8.98766575408088,7.02766365047795,0.986791141856732,0.649302066887095,0.991920532084472,1.09588139659326,44.7515829251083
389,-8.53892469191486,9.49385041611436,0.982868413823432,0.469193948543177,0.980485196578532,1.04410724887486,49.1591052176903
165,-8.47516703841105,4.29742108835252,0.991126845971309,0.597139069256718,0.987913698621189,1.1225748294409,45.1356628178047
45,-7.79140611115664,8.3426383880769,0.997047889397242,0.588256424148136,0.980192531914472,1.05413751592773,50.8489164912557
280,-7.34699702284559,8.76245077995889,0.98375922168289,0.254289799090158,0.991086134254791,1.06118786565489,50.2442209709272
263,-7.25585486063027,7.75163904067927,0.980123840371842,0.306851257199571,0.988359282508278,1.05520585558024,46.5962024527689
33,-6.96448420272189,6.592662046842,0.98500174142978,0.771949020908016,0.994390374404126,1.13085930759833,45.6845555847366
24,-6.69854435655852,11.189205815761,0.993755242834992,0.745338820801041,0.9918419535381,1.00574507143399,43.076455722928
325,-6.3979195798366,17.8105080545814,0.993988199045379,0.405188416984902,0.999223536247325,1.00035524388846,40.0082996344593
230,-6.28955452098096,13.4367563140224,0.997388734151508,0.455330394438311,0.985792881300486,1.08265797694367,53.0540034073404
356,-6.28410931907732,18.7031540133098,0.98897126341893,0.448684910095877,0.996360972972469,1.05701601060966,42.8069141420401
96,-6.20265130943743,5.14859420604732,0.986462474914786,0.492342755829537,0.994200095136474,1.14593690502458,67.9937447859314
339,-6.19702894295185,15.1211236496617,0.993641208449736,0.422165586638844,0.99702321801269,1.0782034481339,42.5415191459918
349,-5.51428797220086,29.2222656105501,0.982571895833398,0.300940760684788,0.999860347577474,1.01754127799632,44.1318917385819
252,-5.09073575134983,17.1665319882313,0.991921039207305,0.569253038807801,0.987002935244896,1.18134677485324,63.2357960480015
246,-4.87750997066636,15.0179644299667,0.985384442430191,0.691810095258036,0.98415557248416,1.0202216497473,58.532474467595
372,-4.83354959607071,32.9781591804904,0.993564529793645,0.231974317614651,0.989764675092583,1.01364287880925,46.1817092393139
187,-4.8139941672618,15.1618261732681,0.990549874924545,0.67596284280262,0.992179283082107,1.09192474950389,61.0842573402289
181,-4.74119259654628,14.8604685758213,0.995213039078659,0.551291588888517,0.990295436203044,1.0270537570939,54.5516552862597
388,-4.416265172727,33.0174990598281,0.981969383152507,0.268839232785999,0.981651831832497,1.00026301396844,53.3381155339691
67,-4.35638986981805,21.1503219899615,0.996928670712263,0.502184292212824,0.980016050518074,1.05455687464903,48.5663246201426
265,-4.25260184876584,20.4719363135299,0.983002247066468,0.331703981558553,0.990363279004309,1.08892752332439,45.801841002564
145,-4.21000756619568,13.0770639859907,0.991359610240575,0.737623874244701,0.983181768527694,1.1032597283105,41.0283369741129
100,-4.11318711366089,32.2278722464676,0.992662803203925,0.396698755159898,0.993021391195756,1.08913805043604,66.4210609355203
198,-3.83980310500901,31.742684382543,0.996411351299361,0.562107593419961,0.982588879143641,1.02141407797682,53.4537426081252
287,-3.74724501034773,36.0875047216005,0.985194141034556,0.232209734599699,0.986562026037431,1.01554180028828,47.1411168962253
175,-3.58462784404996,30.2535820880967,0.993852566889394,0.718336759869684,0.983520635067678,1.01168560899054,52.8347459194823
160,-3.52365441771957,33.7104651554091,0.995987835861614,0.652086217506187,0.985304323282989,1.01542314413147,46.8614251524953
205,-3.50178517204137,38.6691140150032,0.998992511557468,0.599113767911444,0.99052840963544,1.14662466429259,57.0230738213825
164,-3.44751389413206,28.1741693139049,0.997370245113504,0.552408972937542,0.991766427464114,1.06260223934701,60.8162585301953
290,-3.41004710418859,40.2920004951733,0.981799067754706,0.280904270263029,0.982493578415549,1.13290283681243,46.4112729087977
66,-3.38754000275262,18.8959261999064,0.993756709756906,0.670877112704858,0.98069273801276,1.12483849584315,53.8754262510248
269,-3.30660019365186,41.5619700213755,0.993657087680464,0.292740127697029,0.986268709601527,1.06712620860076,43.9290019600206
304,-3.2677810552011,79.8646329149474,0.987889762937187,0.330907626452072,0.99404804750114,1.03171604253208,40.9889451925639
381,-3.19330409984716,40.1719630784779,0.986628722424034,0.523374014122395,0.98408618148564,1.0288511044557,49.75105218643
73,-3.17189109283258,43.894262035161,0.997767379197821,0.59049907920381,0.981368892852679,1.21708756308041,40.0479209869265
150,-3.12839044333992,12.2835580055396,0.989478374672834,0.71722414180799,0.984995863628051,1.02825265458635,45.8303297102734
201,-3.10636494826163,42.5014938445775,0.998497633707593,0.627649810669814,0.990094441451042,1.09852449718324,57.8389000627285
203,-3.06685131112371,49.2745771506746,0.98790926737039,0.773819979983873,0.988064570307723,1.12254780052118,45.3176256636002
259,-3.0583255305909,94.8936641998339,0.986129119789255,0.377150871783441,0.98763535527052,1.00002977820033,43.1793934145037
281,-3.02822098582027,32.9695003614063,0.982359217599116,0.321192961302892,0.992359600732332,1.03391942127452,49.3108000388101
247,-2.91846909509506,42.8553893559018,0.990890508072024,0.679272585301427,0.990438686380224,1.00016253513883,47.0207220126999
162,-2.86430361661216,61.7214824516834,0.998836468648068,0.705203923628597,0.986540504608885,1.0011663971673,50.4720991446427
149,-2.85475297946887,98.4059238194408,0.992244278462931,0.664584488080153,0.98742512971678,1.06581621940742,44.6761046992262
340,-2.77904799639818,70.7212337525634,0.995774890242049,0.258220814315564,0.994559185484222,1.01317089096849,51.0632508429812
202,-2.67841161609333,42.7355237945676,0.992255744252011,0.52613872147025,0.99389339291544,1.20926607515441,60.2876333360643
153,-2.66357921328839,67.8654500720884,0.993469459823367,0.578325837525829,0.980833714118437,1.04427831807287,47.4626974820664
169,-2.64797779915779,82.937367409283,0.998121684415814,0.511635421563177,0.987510839731089,1.07529311662333,45.8284199967184
225,-2.56213842916059,74.7796651239616,0.986867902139917,0.742308082318154,0.990843812731025,1.06236468621345,58.1889013396204
378,-2.55967994163797,98.8234598390028,0.983800188212202,0.281351672072698,0.982910749804466,1.14566355796778,49.4120314874044
